date,recession,unemployment,spread
1982-01-01,1,8.6,1.6759999999999997
1982-02-01,1,8.9,0.14611111111111114
1982-03-01,1,9.0,0.5465217391304347
1982-04-01,1,9.3,0.5271428571428571
1982-05-01,1,9.4,0.9084999999999999
1982-06-01,1,9.6,1.220909090909091
1982-07-01,1,9.8,2.0828571428571427
1982-08-01,1,9.8,4.057727272727273
1982-09-01,1,10.1,4.146190476190474
1982-10-01,1,10.4,2.939
1982-11-01,1,10.8,2.2042105263157894
1982-12-01,0,10.8,2.3372727272727274
1983-01-01,0,10.4,2.34
1983-02-01,0,10.4,2.3305263157894736
1983-03-01,0,10.3,1.8469565217391304
1983-04-01,0,10.2,1.8864999999999998
1983-05-01,0,10.1,1.8842857142857143
1983-06-01,0,10.1,1.7090909090909094
1983-07-01,0,9.4,1.9274999999999998
1983-08-01,0,9.5,2.10695652173913
1983-09-01,0,9.2,2.2923809523809515
1983-10-01,0,8.8,2.553
1983-11-01,0,8.5,2.578947368421053
1983-12-01,0,8.3,2.4719047619047623
1984-01-01,0,8.0,2.410476190476191
1984-02-01,0,7.8,2.382631578947368
1984-03-01,0,7.8,2.4295454545454547
1984-04-01,0,7.7,2.5605
1984-05-01,0,7.4,3.1854545454545455
1984-06-01,0,7.2,3.302380952380952
1984-07-01,0,7.5,2.831428571428571
1984-08-01,0,7.5,1.8156521739130431
1984-09-01,0,7.3,1.726842105263158
1984-10-01,0,7.4,2.0359090909090907
1984-11-01,0,7.2,2.647894736842106
1984-12-01,0,7.3,3.162
1985-01-01,0,7.3,3.3642857142857148
1985-02-01,0,7.2,2.951666666666666
1985-03-01,0,7.2,3.0252380952380955
1985-04-01,0,7.3,3.2128571428571435
1985-05-01,0,7.2,3.113636363636364
1985-06-01,0,7.4,2.976
1985-07-01,0,7.4,2.9904545454545453
1985-08-01,0,7.1,2.9613636363636364
1985-09-01,0,7.1,3.04
1985-10-01,0,7.1,2.8359090909090905
1985-11-01,0,7.0,2.305263157894737
1985-12-01,0,7.0,1.9290476190476193
1986-01-01,0,6.7,1.8919047619047613
1986-02-01,0,7.2,1.4136842105263157
1986-03-01,0,7.2,1.0145000000000002
1986-04-01,0,7.1,1.0636363636363637
1986-05-01,0,7.2,1.3747619047619046
1986-06-01,0,7.2,1.4028571428571428
1986-07-01,0,7.0,1.3036363636363637
1986-08-01,0,6.9,1.4804761904761907
1986-09-01,0,7.0,2.095238095238096
1986-10-01,0,7.0,2.1031818181818185
1986-11-01,0,6.9,1.7505555555555554
1986-12-01,0,6.6,1.43
1987-01-01,0,6.6,1.5065000000000002
1987-02-01,0,6.6,1.4994736842105263
1987-03-01,0,6.6,1.482727272727273
1987-04-01,0,6.3,2.2071428571428573
1987-05-01,0,6.3,2.7664999999999997
1987-06-01,0,6.2,2.5477272727272724
1987-07-01,0,6.1,2.5677272727272724
1987-08-01,0,6.0,2.527142857142857
1987-09-01,0,5.9,2.8004761904761906
1987-10-01,0,6.0,3.16904761904762
1987-11-01,0,5.8,2.9705263157894732
1987-12-01,0,5.7,3.0281818181818183
1988-01-01,0,5.7,2.661052631578948
1988-02-01,0,5.7,2.3695000000000004
1988-03-01,0,5.7,2.503478260869565
1988-04-01,0,5.4,2.6355
1988-05-01,0,5.6,2.6347619047619046
1988-06-01,0,5.4,2.2572727272727273
1988-07-01,0,5.4,2.1079999999999997
1988-08-01,0,5.6,1.9608695652173913
1988-09-01,0,5.4,1.499047619047619
1988-10-01,0,5.4,1.1985
1988-11-01,0,5.3,0.9339999999999999
1988-12-01,0,5.3,0.757142857142857
1989-01-01,0,5.4,0.5329999999999999
1989-02-01,0,5.2,0.33210526315789474
1989-03-01,0,5.0,0.21545454545454543
1989-04-01,0,5.2,0.21300000000000002
1989-05-01,0,5.2,0.12318181818181816
1989-06-01,0,5.3,-0.15727272727272726
1989-07-01,0,5.2,-0.1285
1989-08-01,0,5.2,-0.0573913043478261
1989-09-01,0,5.3,0.17600000000000002
1989-10-01,0,5.3,0.10809523809523809
1989-11-01,0,5.4,-0.06952380952380956
1989-12-01,0,5.4,-0.04350000000000001
1990-01-01,0,5.4,0.3085714285714286
1990-02-01,0,5.3,0.47105263157894744
1990-03-01,0,5.2,0.4186363636363637
1990-04-01,0,5.4,0.7450000000000001
1990-05-01,0,5.4,0.7513636363636365
1990-06-01,0,5.2,0.4933333333333334
1990-07-01,0,5.5,0.5966666666666667
1990-08-01,1,5.7,1.0582608695652176
1990-09-01,1,5.9,1.295263157894737
1990-10-01,1,5.9,1.3195454545454544
1990-11-01,1,6.2,1.1015000000000001
1990-12-01,1,6.3,1.1255000000000002
1991-01-01,1,6.4,1.6823809523809519
1991-02-01,1,6.6,1.7384210526315786
1991-03-01,1,6.8,2.0165
1991-04-01,0,6.7,2.213636363636364
1991-05-01,0,6.9,2.434090909090909
1991-06-01,0,6.9,2.533
1991-07-01,0,6.8,2.5218181818181815
1991-08-01,0,6.9,2.402272727272727
1991-09-01,0,6.9,2.2765
1991-10-01,0,7.0,2.3831818181818183
1991-11-01,0,7.0,2.727894736842105
1991-12-01,0,7.3,2.9042857142857144
1992-01-01,0,7.3,3.1261904761904766
1992-02-01,0,7.4,3.387894736842105
1992-03-01,0,7.4,3.4036363636363633
1992-04-01,0,7.4,3.6414285714285706
1992-05-01,0,7.6,3.6730000000000005
1992-06-01,0,7.8,3.516818181818181
1992-07-01,0,7.7,3.5650000000000004
1992-08-01,0,7.6,3.3866666666666676
1992-09-01,0,7.6,3.446666666666667
1992-10-01,0,7.3,3.6561904761904764
1992-11-01,0,7.4,3.667368421052631
1992-12-01,0,7.4,3.4786363636363635
1993-01-01,0,7.3,3.5289473684210524
1993-02-01,0,7.1,3.2663157894736847
1993-03-01,0,7.0,2.960869565217391
1993-04-01,0,7.1,3.039047619047619
1993-05-01,0,7.1,3.0105000000000004
1993-06-01,0,7.0,2.818181818181818
1993-07-01,0,6.9,2.694285714285714
1993-08-01,0,6.8,2.587272727272727
1993-09-01,0,6.7,2.3514285714285714
1993-10-01,0,6.8,2.242
1993-11-01,0,6.6,2.5445
1993-12-01,0,6.5,2.6463636363636365
1994-01-01,0,6.6,2.7059999999999995
1994-02-01,0,6.6,2.6426315789473684
1994-03-01,0,6.5,2.8917391304347824
1994-04-01,0,6.4,3.1915789473684213
1994-05-01,0,6.1,2.9157142857142855
1994-06-01,0,6.1,2.8522727272727275
1994-07-01,0,6.1,2.8415000000000004
1994-08-01,0,6.0,2.6243478260869564
1994-09-01,0,5.9,2.7057142857142855
1994-10-01,0,5.8,2.6419999999999995
1994-11-01,0,5.6,2.506
1994-12-01,0,5.5,2.0490476190476192
1995-01-01,0,5.6,1.8779999999999997
1995-02-01,0,5.4,1.5300000000000002
1995-03-01,0,5.4,1.2943478260869565
1995-04-01,0,5.8,1.2247368421052631
1995-05-01,0,5.6,0.785
1995-06-01,0,5.6,0.5290909090909091
1995-07-01,0,5.7,0.6849999999999999
1995-08-01,0,5.7,0.9226086956521737
1995-09-01,0,5.6,0.7635
1995-10-01,0,5.5,0.6004761904761906
1995-11-01,0,5.6,0.4123809523809524
1995-12-01,0,5.6,0.4175
1996-01-01,0,5.6,0.501904761904762
1996-02-01,0,5.5,0.841
1996-03-01,0,5.5,1.1709523809523812
1996-04-01,0,5.6,1.4236363636363636
1996-05-01,0,5.6,1.583181818181818
1996-06-01,0,5.3,1.6804999999999999
1996-07-01,0,5.5,1.5672727272727267
1996-08-01,0,5.1,1.4463636363636363
1996-09-01,0,5.2,1.5945
1996-10-01,0,5.2,1.4104545454545454
1996-11-01,0,5.4,1.0342105263157895
1996-12-01,0,5.4,1.261904761904762
1997-01-01,0,5.3,1.4133333333333333
1997-02-01,0,5.2,1.2773684210526315
1997-03-01,0,5.2,1.4100000000000001
1997-04-01,0,5.1,1.580909090909091
1997-05-01,0,4.9,1.5142857142857142
1997-06-01,0,5.0,1.422857142857143
1997-07-01,0,4.9,1.0259090909090909
1997-08-01,0,4.8,1.0190476190476192
1997-09-01,0,4.9,1.1238095238095238
1997-10-01,0,4.7,0.9168181818181818
1997-11-01,0,4.6,0.5938888888888889
1997-12-01,0,4.7,0.5040909090909091
1998-01-01,0,4.6,0.36550000000000005
1998-02-01,0,4.6,0.3447368421052632
1998-03-01,0,4.7,0.4854545454545455
1998-04-01,0,4.3,0.5547619047619049
1998-05-01,0,4.4,0.5125000000000001
1998-06-01,0,4.5,0.37227272727272714
1998-07-01,0,4.5,0.3668181818181818
1998-08-01,0,4.5,0.30095238095238086
1998-09-01,0,4.6,0.06761904761904763
1998-10-01,0,4.5,0.4595238095238096
1998-11-01,0,4.4,0.29631578947368425
1998-12-01,0,4.4,0.14818181818181822
1999-01-01,0,4.3,0.27578947368421053
1999-02-01,0,4.4,0.4436842105263158
1999-03-01,0,4.2,0.6660869565217389
1999-04-01,0,4.3,0.7754545454545454
1999-05-01,0,4.2,0.9084999999999999
1999-06-01,0,4.3,1.184090909090909
1999-07-01,0,4.3,1.1061904761904764
1999-08-01,0,4.2,1.0654545454545457
1999-09-01,0,4.2,1.0928571428571427
1999-10-01,0,4.1,1.0885
1999-11-01,0,4.1,0.8065000000000001
1999-12-01,0,4.0,0.9186363636363635
2000-01-01,0,4.0,1.1620000000000001
2000-02-01,0,4.1,0.7925000000000002
2000-03-01,0,4.0,0.3926086956521738
2000-04-01,0,3.8,0.16894736842105262
2000-05-01,0,4.0,0.4459090909090909
2000-06-01,0,4.0,0.23545454545454553
2000-07-01,0,4.0,-0.0885
2000-08-01,0,4.1,-0.4513043478260871
2000-09-01,0,3.9,-0.37599999999999995
2000-10-01,0,3.9,-0.5561904761904762
2000-11-01,0,3.9,-0.6390476190476191
2000-12-01,0,3.9,-0.6965000000000001
2001-01-01,0,4.2,-0.12428571428571428
2001-02-01,0,4.2,0.09368421052631579
2001-03-01,0,4.3,0.35
2001-04-01,1,4.4,1.1749999999999998
2001-05-01,1,4.3,1.6881818181818182
2001-06-01,1,4.5,1.7190476190476194
2001-07-01,1,4.6,1.6428571428571428
2001-08-01,1,4.9,1.533478260869565
2001-09-01,1,5.0,2.039411764705883
2001-10-01,1,5.3,2.369090909090909
2001-11-01,1,5.5,2.745
2001-12-01,0,5.7,3.3675000000000006
2002-01-01,0,5.7,3.350952380952381
2002-02-01,0,5.7,3.154736842105262
2002-03-01,0,5.7,3.4589999999999996
2002-04-01,0,5.9,3.465909090909091
2002-05-01,0,5.8,3.4040909090909097
2002-06-01,0,5.8,3.1944999999999992
2002-07-01,0,5.8,2.9395454545454545
2002-08-01,0,5.7,2.6099999999999994
2002-09-01,0,5.7,2.211
2002-10-01,0,5.7,2.33090909090909
2002-11-01,0,5.9,2.793684210526316
2002-12-01,0,6.0,2.8214285714285716
2003-01-01,0,5.8,2.85952380952381
2003-02-01,0,5.9,2.7173684210526314
2003-03-01,0,5.9,2.656190476190476
2003-04-01,0,6.0,2.8061904761904763
2003-05-01,0,6.1,2.4809523809523806
2003-06-01,0,6.3,2.3980952380952383
2003-07-01,0,6.2,3.0549999999999997
2003-08-01,0,6.1,3.4761904761904767
2003-09-01,0,6.1,3.3190476190476192
2003-10-01,0,6.0,3.3486363636363645
2003-11-01,0,5.8,3.347777777777778
2003-12-01,0,5.7,3.353181818181818
2004-01-01,0,5.7,3.25
2004-02-01,0,5.6,3.1394736842105258
2004-03-01,0,5.8,2.8730434782608696
2004-04-01,0,5.6,3.3895238095238094
2004-05-01,0,5.6,3.6759999999999997
2004-06-01,0,5.6,3.445714285714285
2004-07-01,0,5.5,3.14047619047619
2004-08-01,0,5.4,2.7781818181818183
2004-09-01,0,5.4,2.4442857142857144
2004-10-01,0,5.5,2.3024999999999998
2004-11-01,0,5.4,2.0865
2004-12-01,0,5.4,2.008181818181818
2005-01-01,0,5.3,1.8505000000000003
2005-02-01,0,5.4,1.585789473684211
2005-03-01,0,5.2,1.7018181818181817
2005-04-01,0,5.2,1.5042857142857142
2005-05-01,0,5.1,1.2423809523809526
2005-06-01,0,5.0,0.9618181818181817
2005-07-01,0,5.0,0.8899999999999999
2005-08-01,0,4.9,0.7443478260869566
2005-09-01,0,5.0,0.7047619047619048
2005-10-01,0,5.0,0.6709999999999998
2005-11-01,0,5.0,0.5605
2005-12-01,0,4.9,0.4961904761904762
2006-01-01,0,4.7,0.08000000000000003
2006-02-01,0,4.8,0.02947368421052632
2006-03-01,0,4.7,0.09608695652173915
2006-04-01,0,4.7,0.26894736842105266
2006-05-01,0,4.6,0.2736363636363637
2006-06-01,0,4.6,0.18863636363636366
2006-07-01,0,4.7,0.011000000000000001
2006-08-01,0,4.7,-0.21391304347826087
2006-09-01,0,4.5,-0.21100000000000002
2006-10-01,0,4.4,-0.3171428571428571
2006-11-01,0,4.5,-0.4780952380952381
2006-12-01,0,4.4,-0.4085
2007-01-01,0,4.6,-0.34571428571428575
2007-02-01,0,4.5,-0.44052631578947365
2007-03-01,0,4.4,-0.5154545454545456
2007-04-01,0,4.5,-0.31285714285714283
2007-05-01,0,4.4,-0.12136363636363635
2007-06-01,0,4.6,0.360952380952381
2007-07-01,0,4.7,0.04333333333333333
2007-08-01,0,4.6,0.3578260869565217
2007-09-01,0,4.7,0.5273684210526316
2007-10-01,0,4.7,0.525
2007-11-01,0,4.7,0.7939999999999999
2007-12-01,0,5.0,1.031
2008-01-01,1,5.0,0.9242857142857143
2008-02-01,1,4.9,1.5635
2008-03-01,1,5.1,2.2264999999999997
2008-04-01,1,5.0,2.363181818181818
2008-05-01,1,5.4,2.1157142857142857
2008-06-01,1,5.6,2.209047619047619
2008-07-01,1,5.8,2.3527272727272726
2008-08-01,1,6.1,2.1328571428571426
2008-09-01,1,6.1,2.5395238095238093
2008-10-01,1,6.5,3.1281818181818184
2008-11-01,1,6.8,3.332777777777778
2008-12-01,1,7.3,2.3822727272727273
2009-01-01,1,7.8,2.388000000000001
2009-02-01,1,8.3,2.574736842105263
2009-03-01,1,8.7,2.6036363636363635
2009-04-01,1,9.0,2.7690476190476194
2009-05-01,1,9.4,3.1160000000000005
2009-06-01,1,9.5,3.5431818181818184
2009-07-01,0,9.5,3.3786363636363643
2009-08-01,0,9.6,3.415238095238095
2009-09-01,0,9.8,3.278571428571429
2009-10-01,0,10.0,3.3133333333333335
2009-11-01,0,9.9,3.350526315789474
2009-12-01,0,9.9,3.5354545454545456
2010-01-01,0,9.8,3.6715789473684213
2010-02-01,0,9.8,3.582105263157895
2010-03-01,0,9.9,3.576956521739131
2010-04-01,0,9.9,3.6845454545454555
2010-05-01,0,9.6,3.2600000000000002
2010-06-01,0,9.4,3.080454545454546
2010-07-01,0,9.4,2.853809523809524
2010-08-01,0,9.5,2.5436363636363635
2010-09-01,0,9.5,2.4957142857142856
2010-10-01,0,9.4,2.4055
2010-11-01,0,9.8,2.62
2010-12-01,0,9.3,3.1500000000000004
2011-01-01,0,9.1,3.242
2011-02-01,0,9.0,3.4442105263157887
2011-03-01,0,9.0,3.3139130434782613
2011-04-01,0,9.1,3.3964999999999996
2011-05-01,0,9.0,3.127619047619048
2011-06-01,0,9.1,2.9650000000000003
2011-07-01,0,9.0,2.9654999999999996
2011-08-01,0,9.0,2.2786956521739126
2011-09-01,0,9.0,1.9614285714285713
2011-10-01,0,8.8,2.133
2011-11-01,0,8.6,1.9994999999999998
2011-12-01,0,8.5,1.9666666666666666
2012-01-01,0,8.3,1.932
2012-02-01,0,8.3,1.8755
2012-03-01,0,8.2,2.088636363636363
2012-04-01,0,8.2,1.9690476190476187
2012-05-01,0,8.2,1.7136363636363638
2012-06-01,0,8.2,1.5309523809523808
2012-07-01,0,8.2,1.4295238095238094
2012-08-01,0,8.1,1.5756521739130436
2012-09-01,0,7.8,1.6178947368421053
2012-10-01,0,7.8,1.6414285714285715
2012-11-01,0,7.7,1.5605
2012-12-01,0,7.9,1.6489999999999998
2013-01-01,0,8.0,1.8404761904761908
2013-02-01,0,7.7,1.8852631578947368
2013-03-01,0,7.5,1.8705000000000003
2013-04-01,0,7.6,1.699090909090909
2013-05-01,0,7.5,1.8840909090909088
2013-06-01,0,7.5,2.2495
2013-07-01,0,7.3,2.546818181818182
2013-08-01,0,7.2,2.6936363636363634
2013-09-01,0,7.2,2.7935000000000003
2013-10-01,0,7.2,2.5686363636363634
2013-11-01,0,6.9,2.650526315789474
2013-12-01,0,6.7,2.835238095238095
2014-01-01,0,6.6,2.8147619047619044
2014-02-01,0,6.7,2.656842105263158
2014-03-01,0,6.7,2.6709523809523805
2014-04-01,0,6.2,2.6742857142857144
2014-05-01,0,6.3,2.526666666666666
2014-06-01,0,6.1,2.5628571428571427
